sku,department,category,brand,name,image_1,image_2,image_3,image_4,correct_images
C31CH76101,Impresión,Impresora,EPSON,"Impresora para etiquetas Epson CW-C6000 ColorWorks",,,,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-C31CH76101-4.jpg,3
DQ.R1TAL.002,Computadores,"Todo en Uno",ACER,"AIO Acer Vero 23,8' Intel i5 14500 16GB 512GB SSD Windows 11 Pro 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/ACER-DQ.R1TAL.002-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-DQ.R1TAL.002-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-DQ.R1TAL.002-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-DQ.R1TAL.002-4.jpg,0
L553I5165123YPSP,Computadores,Portátiles,DELL,"Portátil Latitude 5530 15.6' Intel i5-1235U 16GB 512GB SSD Windows 10 Pro 3y",,,,,4
LS27CG512ENXZA,"Televisores y Monitores",Monitores,SAMSUNG,"Monitor Samsung Plano 27' Oddysey G5 2K QHD",,,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-LS27CG512ENXZA-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-LS27CG512ENXZA-4.jpg,2
LS32D600UANXGO,"Televisores y Monitores",Monitores,SAMSUNG,"Monitor Samsung Plano 32' ViewFinity S6 2K QHD",,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-LS32D600UANXGO-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-LS32D600UANXGO-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-LS32D600UANXGO-4.jpg,1
LS32DM801UNXZA,"Televisores y Monitores",Monitores,SAMSUNG,"Monitor Samsung Plano 32' Smart M8 4K UHD",,,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-LS32DM801UNXZA-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-LS32DM801UNXZA-4.jpg,2
NX.B0YAL.008,Computadores,Portátiles,ACER,"Portátil Acer TravelMate 14' Intel i7 1355U 16GB 512GB SSD Windows 11 Pro 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B0YAL.008-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B0YAL.008-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B0YAL.008-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B0YAL.008-4.jpg,0
NX.B17AL.00B,Computadores,Portátiles,ACER,"Portátil Acer TravelMate 16' Intel i5 1335U 16GB 512GB SSD Windows 11 Pro 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B17AL.00B-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B17AL.00B-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B17AL.00B-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B17AL.00B-4.jpg,0
NX.B17AL.00D,Computadores,Portátiles,ACER,"Portátil Acer TravelMate 16' Intel i5 1335U 16GB 1TB SSD Windows 11 Pro 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B17AL.00D-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B17AL.00D-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B17AL.00D-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B17AL.00D-4.jpg,0
NX.B7LAL.001,Computadores,Portátiles,ACER,"Portátil Acer Travelmate Ryzen 5- 7535U 16GB 512GB SSD Windows 11 Pro 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B7LAL.001-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B7LAL.001-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B7LAL.001-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B7LAL.001-4.jpg,0
